Rooms,DistCenter,Area,Price,AdmArea,District,Lat,Long,Address
2,16.111103,43,7806,Юго-Восточный административный округ,район Выхино-Жулебино,55.690000,37.850000,"улица Генерала Кузнецова, дом 18, корпус 2"
2,10.135259,58,10313,Северный административный округ,Войковский район,55.820000,37.510000,"улица Зои и Александра Космодемьянских, дом 4А"
2,13.666866,49,9431,Юго-Восточный административный округ,район Люблино,55.670000,37.780000,"Краснодарская улица, дом 72, корпус 3"
1,6.999902,32,6797,Восточный административный округ,район Сокольники,55.800000,37.690000,"улица Короленко, дом 2/23, корпус 6"
3,11.989452,66,12695,Юго-Восточный административный округ,район Люблино,55.680000,37.760000,"Краснодарская улица, дом 35"
1,11.530737,29,5365,Юго-Восточный административный округ,район Люблино,55.680000,37.750000,"Краснодонская улица, дом 14, корпус 1"
2,12.330821,44,9241,Юго-Восточный административный округ,район Люблино,55.670000,37.750000,"Краснодонская улица, дом 34, корпус 2"
3,14.003312,57,10436,Северный административный округ,Бескудниковский район,55.870000,37.540000,"Дмитровское шоссе, дом 89, корпус 4"
3,8.852547,51,10282,Северо-Восточный административный округ,район Марфино,55.830000,37.590000,"Большая Марфинская улица, дом 1А"
2,5.807281,56,10704,Южный административный округ,Донской район,55.700000,37.610000,"Загородное шоссе, дом 2"
3,5.347085,67,11670,Восточный административный округ,район Сокольники,55.790000,37.670000,"улица Сокольнический Вал, дом 1Б"
1,11.352452,22,4344,Южный административный округ,Нагорный район,55.650000,37.620000,"Чонгарский бульвар, дом 4, корпус 1, строение 2"
3,6.466058,53,9637,Юго-Восточный административный округ,район Лефортово,55.760000,37.720000,"Юрьевский переулок, дом 22, корпус 1"
3,13.741394,74,11470,Восточный административный округ,район Восточное Измайлово,55.800000,37.820000,"15-я Парковая улица, дом 26, корпус 4"
2,6.820028,39,6984,Северный административный округ,район Аэропорт,55.800000,37.550000,"Планетная улица, дом 24"
3,12.168652,72,13786,Восточный административный округ,район Восточное Измайлово,55.790000,37.800000,"11-я Парковая улица, дом 9/35"
1,12.757497,30,5252,Восточный административный округ,район Восточное Измайлово,55.790000,37.810000,"11-я Парковая улица, дом 10"
1,10.385298,29,4833,Юго-Западный административный округ,район Зюзино,55.660000,37.590000,"Малая Юшуньская улица, дом 8, корпус 2"
2,6.449577,41,8670,Северный административный округ,Савёловский район,55.800000,37.560000,"улица Юннатов, дом 17, корпус 1"
2,14.061160,42,7768,Восточный административный округ,район Ивановское,55.770000,37.840000,"улица Сталеваров, дом 4, корпус 4"
1,6.449577,27,5069,Северный административный округ,Савёловский район,55.800000,37.560000,"улица Юннатов, дом 8А"
3,11.225672,69,8628,Северо-Западный административный округ,район Щукино,55.800000,37.460000,"улица Маршала Новикова, дом 13"
2,13.133204,56,9133,Северо-Восточный административный округ,район Отрадное,55.870000,37.620000,"Юрловский проезд, дом 13А"
3,13.586046,77,12771,Южный административный округ,район Чертаново Северное,55.630000,37.610000,"Кировоградская улица, дом 10А"
3,17.757084,69,9636,Западный административный округ,район Солнцево,55.650000,37.400000,"улица Богданова, дом 12, корпус 2"
2,19.808275,49,8740,Юго-Восточный административный округ,район Некрасовка,55.700000,37.920000,"Рождественская улица, дом 17"
1,9.817436,28,5098,Юго-Западный административный округ,район Черёмушки,55.670000,37.560000,"Новочерёмушкинская улица, дом 60, корпус 2"
3,8.792327,64,13165,Юго-Западный административный округ,район Черёмушки,55.680000,37.560000,"Профсоюзная улица, дом 40, корпус 2"
3,10.859844,78,15139,Юго-Западный административный округ,район Черёмушки,55.660000,37.560000,"Севастопольский проспект, дом 46, корпус 7"
2,10.065495,40,8607,Юго-Западный административный округ,район Черёмушки,55.670000,37.550000,"улица Архитектора Власова, дом 25, корпус 2"
1,9.603963,28,5221,Юго-Западный административный округ,район Черёмушки,55.670000,37.570000,"улица Цюрупы, дом 7"
3,14.515338,70,12062,Северо-Западный административный округ,район Строгино,55.810000,37.410000,"улица Исаковского, дом 20, корпус 1"
2,15.646368,36,5453,Северо-Западный административный округ,район Строгино,55.810000,37.390000,"улица Кулакова, дом 18, корпус 1"
3,14.515338,72,13571,Северо-Западный административный округ,район Строгино,55.810000,37.410000,"улица Маршала Катукова, дом 25"
2,14.057361,49,7867,Северо-Западный административный округ,район Строгино,55.800000,37.410000,"улица Твардовского, дом 31, корпус 2"
1,7.120888,30,6341,Восточный административный округ,район Соколиная Гора,55.780000,37.720000,"Вельяминовская улица, дом 6"
1,8.439557,30,5584,Южный административный округ,район Нагатино-Садовники,55.680000,37.660000,"Нагатинская улица, дом 35, корпус 1"
3,9.074689,68,11751,Северо-Восточный административный округ,район Ростокино,55.830000,37.660000,"проспект Мира, дом 186Д"
1,16.291495,31,5046,Южный административный округ,район Зябликово,55.620000,37.730000,"Ореховый проезд, дом 45, корпус 1"
3,14.792975,79,14226,Южный административный округ,район Чертаново Центральное,55.620000,37.590000,"Чертановская улица, дом 36, строение 1"
2,15.898722,37,8167,Южный административный округ,район Чертаново Центральное,55.610000,37.590000,"Чертановская улица, дом 42, корпус 2"
1,14.213702,26,4737,Восточный административный округ,район Гольяново,55.820000,37.810000,"Чусовская улица, дом 15"
2,14.769924,39,7661,Восточный административный округ,район Гольяново,55.810000,37.830000,"Щёлковское шоссе, дом 91, корпус 2"
3,13.171175,58,10003,Восточный административный округ,район Гольяново,55.820000,37.790000,"Черницынский проезд, дом 10, корпус 2"
3,5.076241,56,8918,Центральный административный округ,район Хамовники,55.720000,37.560000,"Усачёва улица, дом 29, корпус 9"
3,12.888356,78,14743,Южный административный округ,район Москворечье-Сабурово,55.640000,37.670000,"Кантемировская улица, дом 18, корпус 4"
2,11.530507,53,7899,Южный административный округ,район Москворечье-Сабурово,55.650000,37.650000,"Каширское шоссе, дом 32, корпус 2"
3,15.777996,83,13872,Северо-Западный административный округ,район Южное Тушино,55.840000,37.420000,"Походный проезд, дом 9, корпус 2"
3,16.776982,57,10474,Северо-Западный административный округ,район Южное Тушино,55.840000,37.400000,"улица Василия Петушкова, дом 17"
1,15.630026,27,4576,Северо-Западный административный округ,район Южное Тушино,55.830000,37.410000,"улица Василия Петушкова, дом 29"
2,14.353852,40,7309,Северо-Западный административный округ,район Южное Тушино,55.840000,37.450000,"улица Фабрициуса, дом 20"
1,10.384363,23,4463,Восточный административный округ,район Северное Измайлово,55.800000,37.760000,"Сиреневый бульвар, дом 1, корпус 2"
3,14.817366,78,13115,Северо-Западный административный округ,район Южное Тушино,55.840000,37.440000,"улица Фабрициуса, дом 9"
3,16.538768,58,9988,Юго-Западный административный округ,район Ясенево,55.610000,37.540000,"Литовский бульвар, дом 30"
3,16.538768,57,10466,Юго-Западный административный округ,район Ясенево,55.610000,37.540000,"Литовский бульвар, дом 5/10"
3,17.188269,72,8856,Юго-Западный административный округ,район Ясенево,55.610000,37.510000,"Голубинская улица, дом 7, корпус 2"
3,17.993624,64,13173,Юго-Западный административный округ,район Ясенево,55.600000,37.520000,"Вильнюсская улица, дом 5"
1,17.993624,26,3766,Юго-Западный административный округ,район Ясенево,55.600000,37.520000,"Голубинская улица, дом 7, корпус 5"
3,16.951321,58,11024,Юго-Западный административный округ,район Ясенево,55.610000,37.520000,"Вильнюсская улица, дом 4"
2,10.925865,39,8192,Восточный административный округ,район Северное Измайлово,55.800000,37.770000,"Никитинская улица, дом 27, корпус 2"
3,11.510007,81,13433,Восточный административный округ,район Северное Измайлово,55.810000,37.770000,"Щёлковское шоссе, дом 12, корпус 2"
1,14.209637,23,3944,Восточный административный округ,район Северное Измайлово,55.810000,37.820000,"15-я Парковая улица, дом 42, корпус 6"
2,10.741919,46,7963,Северо-Западный административный округ,район Хорошёво-Мнёвники,55.790000,37.460000,"улица Генерала Глаголева, дом 25, корпус 1"
1,10.355629,23,4454,Северо-Западный административный округ,район Хорошёво-Мнёвники,55.780000,37.460000,"улица Генерала Глаголева, дом 3"
2,10.355629,39,8706,Северо-Западный административный округ,район Хорошёво-Мнёвники,55.780000,37.460000,"улица Генерала Глаголева, дом 8, корпус 3"
1,8.583041,27,5977,Северо-Западный административный округ,район Хорошёво-Мнёвники,55.780000,37.490000,"улица Маршала Тухачевского, дом 15"
3,17.441960,75,13086,Юго-Западный административный округ,район Ясенево,55.600000,37.550000,"Новоясеневский проспект, дом 40, корпус 3"
2,10.741919,50,8625,Северо-Западный административный округ,район Хорошёво-Мнёвники,55.790000,37.460000,"улица Паршина, дом 27"
2,18.677456,50,8316,Юго-Западный административный округ,район Ясенево,55.590000,37.540000,"проезд Карамзина, дом 1, корпус 1"
2,19.985895,48,6934,Северо-Западный административный округ,район Митино,55.850000,37.350000,"3-й Митинский переулок, дом 5"
3,12.159991,68,13679,Северо-Западный административный округ,район Хорошёво-Мнёвники,55.780000,37.430000,"Таманская улица, дом 35, корпус 1"
1,11.215128,24,4320,Восточный административный округ,район Метрогородок,55.820000,37.750000,"Открытое шоссе, дом 17, корпус 5"
3,9.878175,62,10340,Западный административный округ,район Раменки,55.700000,37.490000,"Мичуринский проспект, дом 42"
2,10.561846,49,8555,Северный административный округ,Войковский район,55.820000,37.500000,"Ленинградское шоссе, дом 10"
2,9.541189,52,10365,Восточный административный округ,район Богородское,55.810000,37.730000,"Открытое шоссе, дом 5, корпус 7"
1,5.847553,25,4858,Северный административный округ,Хорошёвский район,55.770000,37.530000,"Хорошёвское шоссе, дом 19"
2,7.115550,40,7003,Юго-Западный административный округ,Академический район,55.690000,37.590000,"улица Винокурова, дом 12, корпус 2"
2,4.612456,44,8542,Юго-Восточный административный округ,район Лефортово,55.760000,37.690000,"Красноказарменная площадь, дом 1"
3,4.122698,78,15699,Центральный административный округ,Таганский район,55.740000,37.680000,"Малая Калитниковская улица, дом 9"
3,16.372021,71,14238,Северо-Западный административный округ,район Северное Тушино,55.860000,37.440000,"улица Фомичёвой, дом 16, корпус 3"
1,11.656927,25,5395,Южный административный округ,район Москворечье-Сабурово,55.650000,37.660000,"улица Москворечье, дом 43"
3,12.888356,83,12026,Южный административный округ,район Москворечье-Сабурово,55.640000,37.670000,"улица Москворечье, дом 49"
1,9.158092,33,5526,Южный административный округ,район Нагатино-Садовники,55.670000,37.630000,"Каширское шоссе, дом 8, корпус 4"
2,8.439557,50,10531,Южный административный округ,район Нагатино-Садовники,55.680000,37.660000,"Нагатинская набережная, дом 28"
3,8.264201,67,11209,Южный административный округ,район Нагатино-Садовники,55.680000,37.650000,"Нагатинская улица, дом 17, корпус 1"
2,8.913041,51,10288,Южный административный округ,район Нагатинский Затон,55.680000,37.680000,"Судостроительная улица, дом 22/1"
2,9.347285,48,9366,Южный административный округ,район Нагатино-Садовники,55.670000,37.650000,"улица Академика Миллионщикова, дом 7, корпус 1"
3,4.699167,64,11036,Южный административный округ,Даниловский район,55.710000,37.610000,"улица Шаболовка, дом 63, корпус 2"
1,6.364476,26,4884,Южный административный округ,Даниловский район,55.700000,37.660000,"улица Трофимова, дом 2/1"
2,6.364476,44,7267,Южный административный округ,Даниловский район,55.700000,37.660000,"улица Трофимова, дом 6"
3,6.988893,63,11416,Южный административный округ,Донской район,55.690000,37.600000,"Загородное шоссе, дом 10, корпус 9"
2,6.988893,50,9415,Южный административный округ,Донской район,55.690000,37.600000,"Загородное шоссе, дом 15, корпус 2"
2,5.238198,39,6413,Южный административный округ,Донской район,55.710000,37.580000,"Ленинский проспект, дом 30"
2,4.986763,41,9401,Южный административный округ,Донской район,55.710000,37.590000,"Ленинский проспект, дом 37"
1,13.166946,29,5729,Восточный административный округ,район Восточное Измайлово,55.800000,37.810000,"Измайловский бульвар, дом 60/10"
1,12.473907,30,5035,Южный административный округ,район Чертаново Северное,55.640000,37.610000,"Сумской проезд, дом 12, корпус 3"
3,4.804403,57,8338,Южный административный округ,Донской район,55.710000,37.600000,"улица Орджоникидзе, дом 9, корпус 2"
3,13.586046,55,11696,Южный административный округ,район Чертаново Северное,55.630000,37.610000,"Кировоградская улица, дом 4, корпус 1"
3,11.328156,60,10152,Западный административный округ,район Проспект Вернадского,55.680000,37.490000,"улица Удальцова, дом 85, корпус 3"
